ticker,date,period_ending,estimate,reported,surprise,surprise%
XXII,05-AUG-21,Jun 2021,-0.03,-0.03,0.0,0.0
XYL,03-AUG-21,Jun 2021,0.63,0.66,0.03,4.76
Y,05-AUG-21,Jun 2021,15.89,17.39,1.5,9.44
YELP,05-AUG-21,Jun 2021,-0.08,0.05,0.13,162.5
YETI,05-AUG-21,Jun 2021,0.57,0.68,0.11,19.3
YEXT,02-SEP-21,Jul 2021,-0.07,-0.06,0.01,14.29
YMAB,05-AUG-21,Jun 2021,-0.68,-0.53,0.15,22.06
YORW,05-AUG-21,Jun 2021,0.33,0.35,0.02,6.06
YUM,29-JUL-21,Jun 2021,0.95,1.16,0.21,22.11
YUMC,28-JUL-21,Jun 2021,0.43,0.42,-0.01,-2.33
ZBH,03-AUG-21,Jun 2021,1.84,1.9,0.06,3.26
ZBRA,03-AUG-21,Jun 2021,4.12,4.57,0.45,10.92
ZEN,29-JUL-21,Jun 2021,0.15,0.13,-0.02,-13.33
ZEUS,05-AUG-21,Jun 2021,2.01,2.84,0.83,41.29
ZG,05-AUG-21,Jun 2021,0.23,0.44,0.21,91.3
ZION,19-JUL-21,Jun 2021,1.25,2.08,0.83,66.4
ZM,30-AUG-21,Jul 2021,1.16,1.36,0.2,17.24
ZNGA,05-AUG-21,Jun 2021,0.09,0.05,-0.04,-44.44
ZNTL,12-AUG-21,Jun 2021,-1.14,-1.34,-0.2,-17.54
ZS,09-SEP-21,Jul 2021,0.09,0.14,0.05,55.56
ZTS,05-AUG-21,Jun 2021,1.08,1.19,0.11,10.19
ZUMZ,09-SEP-21,Jul 2021,0.84,1.02,0.18,21.43
ZUO,25-AUG-21,Jul 2021,-0.04,-0.04,0.0,0.0
